,summary,review,rating
1,"3.5 stars,  sadly not as wonderful as I had hoped","I bought this on impulse and it comes from Japan,  which amused my family,  all those weird stamps and markings on the package. So that was fun.  It said it would take about a month to arrive and it did take that long.  I was hoping for a more interesting taste but to our family,  it just tasted a bit less flavorful or weaker than the standard milk chocolate kit kat.  The green tea flavor was too subtle for the sugar and it just tasted sweet. The wafers were very crispy, and that was good,  but it tasted a bit anemic to us.I'm happy I bought it, but don't need to buy it again.",3.0
6,Available in some US stores,"I found these in a Mitsuwa Marketplace in Illinois.I actually expected them to taste better than the did.  they were okay but seem smaller than standard kit kats and the taste was a tad mild compared to other green tea candies I have tried.But still, they were pleasant enough and nice for a change.",3.0
9,Not a fan,"I love green tea, I love Kit Kats, but the two do not belong together. I hate the after taste of them.",1.0
14,Meh,I love Kit Kat & green tea....together they are okay.  Nothing to get excited about.  I wouldn't order this again.,3.0
20,Thai curry is the way to go to add spice to anything,"So many flavors. I can't begin to tell you how much I love all of mae ploy curries. I should ask them for recipes. Basically its a plastic lidded container about the size of I wanna say two and one half yogurts. It has a bag inside that you pull out and inside that clear bag is the curry. Its all mashed in there. I cut a corner and take out  a little at a time. Having the spices mixed and its a paste makes it nicer to make a sauce and marry this flavor to anything. Veggies love it that are steamed, scrambled eggs, rice pasta and even fish and meat.",5.0
28,Delicious,"I have tried all the curris from Mae Ploy (excluding the Panag) and various other curry pastes out there. Mae Play is a solid and affordable curry paste that keeps. The Red has more heat, but the green has more spice. The Yellow and Matsaman curry paste don't really have any heat to me, but do taste good as well.For a holiday treat, substitute eggnog for coconut milk with the green curry. It is super delicious (just be advised your GI tract WILL hate you later for doing so)",5.0
29,OK Product,"I like other styles of Mae Ploy curry paste, but the green just doesn't work for me. Overwhelming garlic, no heat, and very bland. I would not purchase this product again.",3.0
32,Not natural/organic at all,"This product is no where near natural / organic-I only wish I had seen the other reviews before purchasing! It contains all the things I did not want-which is why I was looking for a natural alternative. They need to have an ingredient list on here to avoid this...I am &#34;returning&#34; item. I am trying to avoid my children's exposure to yellow 5, red 40 and so on...I do not understand how they can still make these things knowing what they can cause. This may be fine for someone that doesn't read labels or care what their kids eat-but not for my family.",1.0
40,Small and not that great,"It's unfortunate that energy bars are shrinking, you have to eat two to feel like you ate anything.  This one wasn't that impressive.  Tasted to me like oats and raisins with side of peanut flavor.  High carb and not that high of content of anything good..basically a glorified, healthier granola bar.  Not worth the price in my opinion and I won't be repurchasing.  I've had much better.",3.0
46,They work well enough.,"There's a vague taste of apple cinnamon, but mostly I taste oats. I do love that these fill me up and keep me full for awhile. They are exactly what I needed.",4.0
48,Good tea,I bought this to compare it against Yogi Tea's &#34;Breathe Deep&#34; tea because of the lower cost.  It's pleasant enough but I prefer the Yogi Tea better.  This brand tastes good but seems to be less effective in clearing a cough or congestion than Yogi Tea.,3.0
49,Lessens the effects of an asthma attack,"If my wife drinks a cup of this tea when she feels an attack coming on it often helps her avoid the attack at all. If we are out and she has an attack drinking this tea has lessened the effects and helped her recover more quickly.We have tried other tinctures and teas but his blend from TM has been wonderful! It tastes great (I enjoy it  myself) and it is an effective breathing aid.**of course this is not medical advice, this N1 experience.",5.0
51,Mixed thoughts,"The taste of the breathe easy was ok, a little on the earthy side. I did find it cleared my lungs. However, I am prone to migraines and this set off a big one. I had to toss the 6 boxes I bought, ugh.",3.0
54,Dark Chocolate Toffee Nut - fantastic flavor! Great Amazon prices,"I really enjoy PowerBar ProteinPlus bars - but rarely buy them except when they are on sale. Purchasing them through Amazon is like having a sale everyday. I used the subscription for these PowerBars and reduced the cost even more. I have also purchased 2 other flavors.  The Toffee Nut arrived the quickest. I have many food sensitivities, and these products do not trigger them.  I feel vey happy to have them.",5.0
56,"Not very tasty, but good protein content","I wanted some extra protein for my workouts. Saw these on a gold box special at a great price and I bought them. I really don't like the taste, compared to other high protein bars I have tried, but they had great nutritional benefits. I would not buy these again though, due to the taste for me.",3.0
63,Nostalgia,"I was born in the 80's, and this was brought into class a few times. This is very good stuff, and is exactly how I remember it. It is however expensive. I ate the 10 pack within a day or two. I bought this to try out for long term food storage. They will last only a few years, which is expected because it's a dairy product.Definitely a comfort food, I will be stocking up more. LOVE IT",5.0
65,great,my niece teaches underprivileged kids in florida --- she had a science lesson and i sent her 3 boxes of this stuff --- most of the kids would never in their lives have had a chance to taste this stuff --- so for the price it was a good deal to share something that these kids would never have had...,5.0
75,Not soft at all. Basically same as cheap licorice but with stronger flavor.,"Licorice is my favorite candy, and it promotes good digestion. Since I have some digestive issues, I eat licorice on a regular basis. I've tried basically every brand. I bought this because it's advertised as soft licorice. However, it is the same consistency as the cheapest stuff on the grocery store shelf; the difference is that this has a stronger flavor. The flavor is nice. The consistency and texture is terrible. I bought another package hoping the first was just old/stale, but the next package was the same. I threw away both packages.",1.0
81,Panda licorice,"Panda licorice, There is not too much I can say about panda licorice It's very good that's why I keep on buying it.",5.0
82,Love this candy!,"This is an awesome product, natural, not a lot of ingredients, good flavor, not too sweet.But I no longer love our scaredy-cat friends at Amazon! :PNow they won't let you write honest reviews of the product, so lame.What's insane is the price! I can easily get this same thing at the grocery store for 1/3 to 1/2 the price (not even on sale).But here it's at a greatly inflated rate AND they've made it an ""add-on"" item - shameful.Add-on is the worst new ""feature"" I've seen in the many, many years that I've been shopping at this site.I am a Prime member & signed up for that so I could get FREE shipping on ANY item at ANY time - not so I would STILL have to group items into $25 & higher orders. Pathetic. Way to go Amazon. :PBUT - this is ABSOLUTELY the best licorice out there! Just be careful if you have high blood pressure: it uses real licorice as the main flavoring & licorice root can increase a person's blood pressure.OK, Amazon, will you chicken out & block my review again??",1.0
85,NOT gluten free,"As soon as I had a couple of sips, my eczema started uncontrollably itching. That's one of the signs when something I eat is NOT gluten-free. Will return the item for a refund.",1.0
93,Organic Vanilla Extract,"Okay so for the price, this is to be expected, after all, it's organic. I was in a pinch for vanilla extract (REAL Vanilla Extract) and I bought here on Amazon. I know for the same price, this cost just as much at my local Whole Foods, but I bought here and was quite pleased with the product. It's a real high quality extract and using it in my baked goods and some other dishes, I could tell the difference in taste. I use a lot of vanilla extract so for me the only real downside is/was they don't make it bigger. Perhaps I will have to buy this in bulk.",3.0
94,Good stuff,This was good stuff but I just went thru it too fast. So I bought my last really large bottle at BJ's wholesale and it tastes the same and does the job.,5.0
99,Be aware of this produce,"The coffee does have a production date and best/use by date. Maybe I am the only one, but my purchase came back as quite close to the use by date, so just be careful. The coffee is good.",3.0
